Product_name,Count_Colour,Price,Gender
Nike Dri-FIT UV One LuxeWomen's Standard-Fit Short-Sleeve Top,5 Colours,£44.95,Women's Standard-Fit Short-Sleeve Top
Miami Heat Statement EditionJordan Dri-FIT NBA Swingman Jersey,1 Colour,£94.95,Jordan Dri-FIT NBA Swingman Jersey
Nike SportswearMen's Fleece Cardigan,1 Colour,£55.97£79.9529% off,Men's Fleece Cardigan
Zion Dri-FITMen's Trousers,1 Colour,£51.47£72.9529% off,Men's Trousers
Nike StrideMen's Dri-FIT 13cm (approx.)Hybrid Running Shorts,5 Colours,£54.95,Men's Dri-FIT 13cm (approx.)Hybrid Running Shorts
Nike Sportswear Tech PackMen's Woven Hooded Jacket,2 Colours,£199.95,Men's Woven Hooded Jacket
Portugal 2023 Stadium HomeMen's Nike Dri-FIT Football Shirt,Players Available,£79.95,Men's Nike Dri-FIT Football Shirt
Nike RepelWomen's Trail-Running Jacket,1 Colour,£59.97£99.9540% off,Women's Trail-Running Jacket
Nike SportswearWomen's Oversized Crew-Neck French Terry Sweatshirt,1 Colour,£72.95,Women's Oversized Crew-Neck French Terry Sweatshirt
Liverpool F.C. Tech Fleece Windrunner ThirdMen's Nike Football Full-Zip Hoodie,1 Colour,£114.95,Men's Nike Football Full-Zip Hoodie
Nike Solo SwooshWomen's Fleece Trousers,6 Colours,£72.95,Women's Fleece Trousers
Nike SportswearWomen's Reversible Varsity Bomber Jacket (Plus Size),4 Colours,£139.95,Women's Reversible Varsity Bomber Jacket (Plus Size)
Nike OneWomen's Dri-FIT Ultra High-Waisted 8cm (approx.) Brief-Lined Shorts,4 Colours,£33.97£37.9510% off,Women's Dri-FIT Ultra High-Waisted 8cm (approx.) Brief-Lined Shorts
Nike Sportswear Gym VintageWomen's Shorts,1 Colour,£33.97£44.9524% off,Women's Shorts
Nike Life Therma-FITMen's 3-in-1 Parka,3 Colours,£188.97£314.9540% off,Men's 3-in-1 Parka
Nike Yoga Dri-FIT LuxeWomen's Shelf-Bra Cropped Tank,2 Colours,£44.95,Women's Shelf-Bra Cropped Tank
FFF 2022/23 Stadium HomeWomen's Nike Dri-FIT Football Shorts,1 Colour,£37.95,Women's Nike Dri-FIT Football Shorts
NikeT-Shirt,4 Colours,£39.95,T-Shirt
Nike OneWomen's High-Rise Cropped Leggings,2 Colours,£39.95,Women's High-Rise Cropped Leggings
Nike Sportswear Sport EssentialsMen's Poly-Knit Tracksuit,2 Colours,£64.97£72.9510% off,Men's Poly-Knit Tracksuit
Nike Forward JacketWomen's 1/4-Zip Jacket,2 Colours,£144.95,Women's 1/4-Zip Jacket
Nike UnlimitedMen's Dri-FIT 18cm (approx.) 2-in-1 Versatile Shorts,2 Colours,£59.95,Men's Dri-FIT 18cm (approx.) 2-in-1 Versatile Shorts
Nike One (M)Women's High-Waisted Leopard Print Leggings (Maternity),1 Colour,£38.97£64.9540% off,Women's High-Waisted Leopard Print Leggings (Maternity)
Nike Dri-FITMen's 1/2-Zip Camo Running Top,1 Colour,£69.95,Men's 1/2-Zip Camo Running Top
Chelsea F.C. Strike EliteMen's Nike Dri-FIT ADV Football Pants,1 Colour,£89.95,Men's Nike Dri-FIT ADV Football Pants
Nike Sportswear Club FleeceWomen's Oversized Cropped Full-Zip Jacket,2 Colours,£64.95,Women's Oversized Cropped Full-Zip Jacket
Nike DryMen's Dri-FIT Taper Fitness Fleece Trousers,5 Colours,£54.95,Men's Dri-FIT Taper Fitness Fleece Trousers
Nike Dri-FIT StrikeMen's Short-Sleeve Football Top,4 Colours,£37.95,Men's Short-Sleeve Football Top
